data_date,network_fee_withdrawn,operator_fee_withdrawn,total_fee_withdrawn,accumulated_network_fee_withdrawn,accumulated_operator_fee_withdrawn,accumulated_total_fee_withdrawn
2023-11-22,0,0,0,0,6.9996890028,6.9996890028
2023-11-21,0,0,0,0,6.9996890028,6.9996890028
2023-11-20,0,0,0,0,6.9996890028,6.9996890028
2023-11-19,0,0,0,0,6.9996890028,6.9996890028
2023-11-18,0,0,0,0,6.9996890028,6.9996890028
2023-11-17,0,0,0,0,6.9996890028,6.9996890028
2023-11-16,0,0,0,0,6.9996890028,6.9996890028
2023-11-15,0,0,0,0,6.9996890028,6.9996890028
2023-11-14,0,0,0,0,6.9996890028,6.9996890028
2023-11-13,0,0,0,0,6.9996890028,6.9996890028
2023-11-12,0,0,0,0,6.9996890028,6.9996890028
2023-11-11,0,0,0,0,6.9996890028,6.9996890028
2023-11-10,0,0,0,0,6.9996890028,6.9996890028
2023-11-09,0,0,0,0,6.9996890028,6.9996890028
2023-11-08,0,0,0,0,6.9996890028,6.9996890028
2023-11-07,0,0,0,0,6.9996890028,6.9996890028
2023-11-06,0,0,0,0,6.9996890028,6.9996890028
2023-11-05,0,0,0,0,6.9996890028,6.9996890028
2023-11-04,0,0,0,0,6.9996890028,6.9996890028
2023-11-03,0,0,0,0,6.9996890028,6.9996890028
2023-11-02,0,0,0,0,6.9996890028,6.9996890028
2023-11-01,0,0,0,0,6.9996890028,6.9996890028
2023-10-31,0,0,0,0,6.9996890028,6.9996890028
2023-10-30,0,0,0,0,6.9996890028,6.9996890028
2023-10-29,0,0,0,0,6.9996890028,6.9996890028
2023-10-28,0,0,0,0,6.9996890028,6.9996890028
2023-10-27,0,0,0,0,6.9996890028,6.9996890028
2023-10-26,0,0,0,0,6.9996890028,6.9996890028
2023-10-25,0,0,0,0,6.9996890028,6.9996890028
2023-10-24,0,0,0,0,6.9996890028,6.9996890028
2023-10-23,0,0,0,0,6.9996890028,6.9996890028
2023-10-22,0,0,0,0,6.9996890028,6.9996890028
2023-10-21,0,0,0,0,6.9996890028,6.9996890028
2023-10-20,0,0,0,0,6.9996890028,6.9996890028
2023-10-19,0,0,0,0,6.9996890028,6.9996890028
2023-10-18,0,0,0,0,6.9996890028,6.9996890028
2023-10-17,0,0,0,0,6.9996890028,6.9996890028
2023-10-16,0,0,0,0,6.9996890028,6.9996890028
2023-10-15,0,0,0,0,6.9996890028,6.9996890028
2023-10-14,0,0,0,0,6.9996890028,6.9996890028
2023-10-13,0,0,0,0,6.9996890028,6.9996890028
2023-10-12,0,0,0,0,6.9996890028,6.9996890028
2023-10-11,0,0,0,0,6.9996890028,6.9996890028
